timestamp,ip_src,ip_dst,ip_proto,sport,dport,tcp_flags,label
1718872158.601134,192.168.200.231,239.254.127.63,17,48000,48000,0,0
1718872158.674033,192.168.200.121,224.0.0.251,17,5353,5353,0,0
1718872158.739868,192.168.200.121,224.0.0.251,17,5353,5353,0,0
1718872158.806119,192.168.200.146,239.255.255.250,17,53700,1900,0,0
1718872158.875369,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872158.950867,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872159.018594,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872159.082723,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872159.142148,192.168.200.48,224.0.0.251,17,5353,5353,0,0
1718872159.225688,192.168.200.48,224.0.0.22,2,0,0,0,0
1718872159.297164,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872159.369949,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872159.444654,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872159.508545,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872159.589262,192.168.200.121,224.0.0.251,17,5353,5353,0,0
1718872159.658902,192.168.200.120,20.199.120.151,6,49308,443,PA,0
1718872159.730871,192.168.200.121,224.0.0.251,17,5353,5353,0,0
1718872159.791262,192.168.200.95,224.0.0.251,17,5353,5353,0,0
1718872159.861271,192.168.200.95,224.0.0.251,17,5353,5353,0,0
1718872159.984114,20.199.120.151,192.168.200.120,6,443,49308,PA,0
1718872160.057261,192.168.200.120,20.199.120.151,6,49308,443,A,0
1718872160.122566,192.168.200.48,224.0.0.22,2,0,0,0,0
1718872160.203647,192.168.200.121,224.0.0.251,17,5353,5353,0,0
1718872160.274318,192.168.200.121,224.0.0.251,17,5353,5353,0,0
1718872160.354665,192.168.200.48,224.0.0.251,17,5353,5353,0,0
1718872160.424584,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872160.49118,192.168.200.121,224.0.0.251,17,5353,5353,0,0
1718872160.55772,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872160.624658,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872160.690752,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872160.771072,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872160.841934,192.168.200.95,239.255.255.250,17,51821,3702,0,0
1718872160.910635,192.168.200.95,239.255.255.250,17,51821,3702,0,0
1718872160.973995,192.168.200.95,239.255.255.250,17,51821,3702,0,0
1718872161.040424,192.168.200.95,239.255.255.250,17,51821,3702,0,0
1718872161.107083,192.168.200.146,239.255.255.250,17,53697,3702,0,0
1718872161.187249,192.168.200.95,239.255.255.250,17,51821,3702,0,0
1718872161.256842,192.168.200.48,224.0.0.251,17,5353,5353,0,0
1718872161.337673,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872161.40683,192.168.200.95,239.255.255.250,17,51821,3702,0,0
1718872161.489897,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872161.564302,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872161.643202,192.168.200.95,239.255.255.250,17,51821,3702,0,0
1718872161.717208,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872161.782407,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872161.856859,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872161.921107,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872161.988535,192.168.200.121,224.0.0.251,17,5353,5353,0,0
1718872162.064126,192.168.200.95,239.255.255.250,17,51821,3702,0,0
1718872162.141729,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872162.221832,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872162.298563,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872162.369406,192.168.200.95,239.255.255.250,17,51821,3702,0,0
1718872162.439021,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872162.502173,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872162.580394,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872162.658472,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872162.726811,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872162.805612,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872162.892291,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872162.963285,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872163.027735,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872163.105189,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872163.168593,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872163.247001,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872163.310495,192.168.200.70,239.255.255.250,17,64439,3702,0,0
1718872163.387492,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872163.468697,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872163.539298,192.168.200.121,224.0.0.251,17,5353,5353,0,0
1718872163.606859,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872163.677162,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872163.744777,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872163.816611,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872163.890964,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872163.974942,192.168.200.121,224.0.0.251,17,5353,5353,0,0
1718872164.048095,192.168.200.70,239.255.255.250,17,64439,3702,0,0
1718872164.118112,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872164.219723,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872164.330331,192.168.200.70,192.168.200.255,17,137,137,0,0
1718872164.409369,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872164.494869,192.168.200.95,239.255.255.250,17,51821,3702,0,0
1718872164.567545,192.168.200.70,239.255.255.250,17,64439,3702,0,0
1718872164.628124,192.168.200.70,192.168.200.255,17,137,137,0,0
1718872164.70844,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872164.786787,192.168.200.95,239.255.255.250,17,51821,3702,0,0
1718872164.862566,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872164.928867,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872165.008131,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872165.102873,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872165.187951,192.168.200.70,192.168.200.255,17,137,137,0,0
1718872165.25742,192.168.200.70,239.255.255.250,17,64439,3702,0,0
1718872165.334519,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872165.426008,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872165.49173,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872165.554435,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872165.617518,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872165.696848,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872165.77534,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872165.837999,192.168.200.188,239.255.255.250,17,59333,1900,0,0
1718872165.932583,192.168.200.95,239.255.255.250,17,51821,3702,0,0
1718872165.995077,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872166.07358,192.168.200.121,224.0.0.251,17,5353,5353,0,0
1718872166.121096,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872166.199657,192.168.200.95,239.255.255.250,17,51821,3702,0,0
1718872166.262174,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872166.340354,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872166.387231,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872166.465395,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872166.549856,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872166.622312,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872166.700974,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872166.764294,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872166.859242,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872166.937627,192.168.200.188,239.255.255.250,17,59333,1900,0,0
1718872167.000709,192.168.200.120,192.168.11.3,17,52800,53,0,0
1718872167.063488,192.168.200.120,192.168.11.3,17,64067,53,0,0
1718872167.14235,192.168.200.120,192.168.11.3,17,58634,53,0,0
1718872167.20495,192.168.11.3,192.168.200.120,17,53,52800,0,0
1718872167.284989,192.168.11.3,192.168.200.120,17,53,64067,0,0
1718872167.346909,192.168.200.120,104.18.32.115,17,49664,443,0,0
1718872167.42526,192.168.200.120,104.18.32.115,17,49664,443,0,0
1718872167.488068,192.168.200.120,104.18.32.115,17,49664,443,0,0
1718872167.550581,192.168.11.3,192.168.200.120,17,53,58634,0,0
1718872167.629488,192.168.200.120,104.18.32.115,17,49664,443,0,0
1718872167.716358,192.168.200.120,104.18.32.115,17,49664,443,0,0
1718872167.787761,192.168.200.120,104.18.32.115,17,49664,443,0,0
1718872167.867322,192.168.200.120,104.18.32.115,17,49664,443,0,0
1718872167.930324,192.168.200.120,104.18.32.115,17,49664,443,0,0
1718872167.993314,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872168.072166,104.18.32.115,192.168.200.120,17,443,49664,0,0
1718872168.157354,104.18.32.115,192.168.200.120,17,443,49664,0,0
1718872168.228896,104.18.32.115,192.168.200.120,17,443,49664,0,0
1718872168.292868,192.168.200.120,104.18.32.115,17,49664,443,0,0
1718872168.371508,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872168.466088,104.18.32.115,192.168.200.120,17,443,49664,0,0
1718872168.529068,104.18.32.115,192.168.200.120,17,443,49664,0,0
1718872168.592191,104.18.32.115,192.168.200.120,17,443,49664,0,0
1718872168.654945,104.18.32.115,192.168.200.120,17,443,49664,0,0
1718872168.735956,104.18.32.115,192.168.200.120,17,443,49664,0,0
1718872168.861415,192.168.200.120,104.18.32.115,17,49664,443,0,0
1718872168.938839,192.168.200.120,104.18.32.115,17,49664,443,0,0
1718872169.017371,104.18.32.115,192.168.200.120,17,443,49664,0,0
1718872169.080707,104.18.32.115,192.168.200.120,17,443,49664,0,0
1718872169.143822,192.168.200.120,104.18.32.115,17,49664,443,0,0
1718872169.222081,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872169.297643,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872169.370676,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872169.463138,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872169.541675,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872169.608544,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872169.664854,192.168.200.120,104.18.32.115,17,49664,443,0,0
1718872169.737669,104.18.32.115,192.168.200.120,17,443,49664,0,0
1718872169.826115,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872169.901992,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872169.967327,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872170.047728,104.18.32.115,192.168.200.120,17,443,49664,0,0
1718872170.120476,104.18.32.115,192.168.200.120,17,443,49664,0,0
1718872170.19749,192.168.200.120,104.18.32.115,17,49664,443,0,0
1718872170.27662,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872170.349569,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872170.417749,192.168.200.73,224.0.0.251,17,5353,5353,0,0
1718872170.484201,192.168.200.68,255.255.255.255,17,43184,29810,0,0
1718872170.538368,192.168.200.188,239.255.255.250,17,59333,1900,0,0
1718872170.611856,192.168.200.120,192.168.11.3,17,55795,53,0,0
1718872170.683299,192.168.200.120,192.168.11.3,17,52042,53,0,0
